,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042200141,21,203932,Aaron Gordon,1610612743,Denver Nuggets,1,10,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-91,238,1,1,20230416,DEN,MIN
1,Shot Chart Detail,0042200141,29,203932,Aaron Gordon,1610612743,Denver Nuggets,1,9,40,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20230416,DEN,MIN
2,Shot Chart Detail,0042200141,326,203932,Aaron Gordon,1610612743,Denver Nuggets,3,11,21,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20230416,DEN,MIN
3,Shot Chart Detail,0042200141,389,203932,Aaron Gordon,1610612743,Denver Nuggets,3,6,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,228,94,1,0,20230416,DEN,MIN
4,Shot Chart Detail,0042200141,433,203932,Aaron Gordon,1610612743,Denver Nuggets,3,3,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-118,226,1,1,20230416,DEN,MIN
5,Shot Chart Detail,0042200141,440,203932,Aaron Gordon,1610612743,Denver Nuggets,3,2,47,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-56,247,1,0,20230416,DEN,MIN
6,Shot Chart Detail,0042200141,570,203932,Aaron Gordon,1610612743,Denver Nuggets,4,6,20,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,16,1,0,20230416,DEN,MIN
7,Shot Chart Detail,0042200142,40,203932,Aaron Gordon,1610612743,Denver Nuggets,1,8,22,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20230419,DEN,MIN
8,Shot Chart Detail,0042200142,174,203932,Aaron Gordon,1610612743,Denver Nuggets,2,10,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,21,1,1,20230419,DEN,MIN
9,Shot Chart Detail,0042200142,319,203932,Aaron Gordon,1610612743,Denver Nuggets,2,2,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,12,1,0,20230419,DEN,MIN
10,Shot Chart Detail,0042200142,293,203932,Aaron Gordon,1610612743,Denver Nuggets,2,1,59,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230419,DEN,MIN
11,Shot Chart Detail,0042200142,310,203932,Aaron Gordon,1610612743,Denver Nuggets,2,0,42,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,12,201,1,0,20230419,DEN,MIN
12,Shot Chart Detail,0042200142,337,203932,Aaron Gordon,1610612743,Denver Nuggets,3,11,17,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20230419,DEN,MIN
