,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042200141,34,203999,Nikola Jokic,1610612743,Denver Nuggets,1,8,43,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-49,84,1,0,20230416,DEN,MIN
1,Shot Chart Detail,0042200141,40,203999,Nikola Jokic,1610612743,Denver Nuggets,1,8,12,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-20,90,1,1,20230416,DEN,MIN
2,Shot Chart Detail,0042200141,49,203999,Nikola Jokic,1610612743,Denver Nuggets,1,7,12,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,16,1,1,20230416,DEN,MIN
3,Shot Chart Detail,0042200141,61,203999,Nikola Jokic,1610612743,Denver Nuggets,1,6,29,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,59,1,0,20230416,DEN,MIN
4,Shot Chart Detail,0042200141,98,203999,Nikola Jokic,1610612743,Denver Nuggets,1,3,53,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,49,1,1,20230416,DEN,MIN
5,Shot Chart Detail,0042200141,233,203999,Nikola Jokic,1610612743,Denver Nuggets,2,6,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,12,1,0,20230416,DEN,MIN
6,Shot Chart Detail,0042200141,235,203999,Nikola Jokic,1610612743,Denver Nuggets,2,6,43,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230416,DEN,MIN
7,Shot Chart Detail,0042200141,245,203999,Nikola Jokic,1610612743,Denver Nuggets,2,5,45,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,53,32,1,1,20230416,DEN,MIN
8,Shot Chart Detail,0042200141,264,203999,Nikola Jokic,1610612743,Denver Nuggets,2,4,14,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,21,1,1,20230416,DEN,MIN
9,Shot Chart Detail,0042200141,296,203999,Nikola Jokic,1610612743,Denver Nuggets,2,0,47,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,5,53,1,0,20230416,DEN,MIN
10,Shot Chart Detail,0042200141,324,203999,Nikola Jokic,1610612743,Denver Nuggets,3,11,25,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,78,61,1,0,20230416,DEN,MIN
11,Shot Chart Detail,0042200141,407,203999,Nikola Jokic,1610612743,Denver Nuggets,3,4,52,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,15,1,0,20230416,DEN,MIN
12,Shot Chart Detail,0042200142,34,203999,Nikola Jokic,1610612743,Denver Nuggets,1,8,44,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-47,39,1,1,20230419,DEN,MIN
