,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0022200012,57,203999,Nikola Jokic,1610612743,Denver Nuggets,1,7,30,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,13,1,1,20221019,UTA,DEN
1,Shot Chart Detail,0022200012,67,203999,Nikola Jokic,1610612743,Denver Nuggets,1,6,31,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,28,64,1,1,20221019,UTA,DEN
2,Shot Chart Detail,0022200012,130,203999,Nikola Jokic,1610612743,Denver Nuggets,1,2,36,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,26,1,1,20221019,UTA,DEN
3,Shot Chart Detail,0022200012,241,203999,Nikola Jokic,1610612743,Denver Nuggets,2,7,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-6,1,1,20221019,UTA,DEN
4,Shot Chart Detail,0022200012,272,203999,Nikola Jokic,1610612743,Denver Nuggets,2,5,37,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,17,1,1,20221019,UTA,DEN
5,Shot Chart Detail,0022200012,281,203999,Nikola Jokic,1610612743,Denver Nuggets,2,5,8,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,26,1,1,20221019,UTA,DEN
6,Shot Chart Detail,0022200012,295,203999,Nikola Jokic,1610612743,Denver Nuggets,2,4,15,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,66,90,1,0,20221019,UTA,DEN
7,Shot Chart Detail,0022200012,365,203999,Nikola Jokic,1610612743,Denver Nuggets,3,11,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,28,1,1,20221019,UTA,DEN
8,Shot Chart Detail,0022200012,376,203999,Nikola Jokic,1610612743,Denver Nuggets,3,10,48,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,67,26,1,1,20221019,UTA,DEN
9,Shot Chart Detail,0022200012,403,203999,Nikola Jokic,1610612743,Denver Nuggets,3,8,20,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,221,76,1,0,20221019,UTA,DEN
