,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042200141,11,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,11,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-161,221,1,0,20230416,DEN,MIN
1,Shot Chart Detail,0042200141,15,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,11,0,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,22,1,1,20230416,DEN,MIN
2,Shot Chart Detail,0042200141,19,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,10,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,125,223,1,0,20230416,DEN,MIN
3,Shot Chart Detail,0042200141,81,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,5,37,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,13,1,0,20230416,DEN,MIN
4,Shot Chart Detail,0042200141,101,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,3,16,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,11,1,0,20230416,DEN,MIN
5,Shot Chart Detail,0042200141,201,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,8,30,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-42,259,1,0,20230416,DEN,MIN
6,Shot Chart Detail,0042200141,271,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,3,7,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20230416,DEN,MIN
7,Shot Chart Detail,0042200141,275,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,2,37,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,20,196,1,0,20230416,DEN,MIN
8,Shot Chart Detail,0042200141,281,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,2,7,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,15,1,1,20230416,DEN,MIN
9,Shot Chart Detail,0042200141,284,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,1,30,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20230416,DEN,MIN
10,Shot Chart Detail,0042200141,314,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,0,0,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-20,153,1,0,20230416,DEN,MIN
11,Shot Chart Detail,0042200141,360,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-54,250,1,1,20230416,DEN,MIN
12,Shot Chart Detail,0042200141,372,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,7,57,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-150,131,1,0,20230416,DEN,MIN
13,Shot Chart Detail,0042200141,376,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,7,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-156,215,1,1,20230416,DEN,MIN
14,Shot Chart Detail,0042200141,410,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,4,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-194,174,1,0,20230416,DEN,MIN
15,Shot Chart Detail,0042200141,585,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,5,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,13,1,0,20230416,DEN,MIN
16,Shot Chart Detail,0042200141,592,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,4,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,113,236,1,1,20230416,DEN,MIN
17,Shot Chart Detail,0042200142,218,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,7,46,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-123,176,1,1,20230419,DEN,MIN
18,Shot Chart Detail,0042200142,478,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,11,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-20,256,1,1,20230419,DEN,MIN
19,Shot Chart Detail,0042200142,492,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,11,10,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-38,-2,1,1,20230419,DEN,MIN
20,Shot Chart Detail,0042200142,517,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,9,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-82,248,1,0,20230419,DEN,MIN
21,Shot Chart Detail,0042200142,560,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,6,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,192,1,1,20230419,DEN,MIN
22,Shot Chart Detail,0042200142,594,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,4,14,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-9,164,1,1,20230419,DEN,MIN
23,Shot Chart Detail,0042200142,614,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,4,2,27,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,15,1,0,20230419,DEN,MIN
24,Shot Chart Detail,0042200143,12,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,11,6,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,114,188,1,0,20230421,MIN,DEN
25,Shot Chart Detail,0042200143,16,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,10,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,9,201,1,0,20230421,MIN,DEN
26,Shot Chart Detail,0042200143,37,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,7,57,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230421,MIN,DEN
27,Shot Chart Detail,0042200143,88,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,4,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20230421,MIN,DEN
28,Shot Chart Detail,0042200143,126,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,1,59,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-43,48,1,1,20230421,MIN,DEN
29,Shot Chart Detail,0042200143,283,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,3,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,153,201,1,1,20230421,MIN,DEN
30,Shot Chart Detail,0042200143,312,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,2,1,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-178,193,1,0,20230421,MIN,DEN
31,Shot Chart Detail,0042200143,352,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,9,43,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,103,261,1,0,20230421,MIN,DEN
32,Shot Chart Detail,0042200143,367,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,8,32,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-96,240,1,1,20230421,MIN,DEN
33,Shot Chart Detail,0042200143,376,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,7,56,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-36,46,1,1,20230421,MIN,DEN
34,Shot Chart Detail,0042200143,382,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,7,27,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,48,10,1,1,20230421,MIN,DEN
35,Shot Chart Detail,0042200143,415,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,3,5,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-38,258,1,0,20230421,MIN,DEN
