CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,4,1,5,240,0,44,97,0.454,11,39,0.282,15,19,0.789,16,34,54,27,12,11,9,5,114,54.0,114.0,0,0.6068376068376068,-6.0,2022-23,2023-04-09,0022201216
Atlanta,Hawks,1610612737,0,1,0,1,0,0,1,8,1,5,265,0,51,92,0.554,10,33,0.303,19,28,0.679,4,34,46,32,19,11,21,7,131,46.0,131.0,0,0.5886524822695035,-5.0,2022-23,2023-04-07,0022201205
OPPONENTS, Wizards,1610612764,0,1,0,0,0,1,0,6,1,5,240,0,45,94,0.479,6,28,0.214,20,26,0.769,12,27,45,23,26,10,14,9,116,45.0,116.0,0,0.5714285714285714,-18.0,2022-23,2023-04-05,0022201191
Chicago,Bulls,1610612741,0,1,0,1,0,0,0,6,1,5,240,0,41,89,0.461,7,31,0.226,16,20,0.8,6,26,38,16,18,8,8,6,105,38.0,105.0,0,0.5327102803738317,-18.0,2022-23,2023-04-04,0022201182
OPPONENTS, Mavericks,1610612742,0,1,0,0,0,1,0,11,1,5,265,0,49,95,0.516,10,38,0.263,22,32,0.688,10,37,58,24,15,4,14,3,130,58.0,130.0,0,0.5934959349593496,-2.0,2022-23,2023-04-02,0022201167
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,4,1,5,240,0,39,91,0.429,8,37,0.216,21,23,0.913,16,30,50,23,14,6,11,3,107,50.0,107.0,0,0.5688073394495413,-17.0,2022-23,2023-03-31,0022201153
OPPONENTS, Cavaliers,1610612739,0,1,0,0,0,1,0,8,1,5,240,0,47,93,0.505,9,25,0.36,15,22,0.682,10,30,48,20,24,5,8,6,118,48.0,118.0,0,0.6036036036036037,-2.0,2022-23,2023-03-28,0022201131
Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,10,1,5,240,0,45,98,0.459,7,31,0.226,22,26,0.846,14,34,58,27,15,4,10,5,119,58.0,119.0,0,0.5950413223140496,-4.0,2022-23,2023-03-26,0022201115
OPPONENTS, Pacers,1610612754,0,1,0,0,0,1,0,6,1,5,240,0,52,96,0.542,14,37,0.378,12,12,1.0,10,22,38,33,18,7,17,7,130,38.0,130.0,0,0.625,-13.0,2022-23,2023-03-25,0022201107
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,1,5,1,5,240,0,45,85,0.529,12,26,0.462,22,25,0.88,9,32,46,28,25,6,17,6,124,46.0,124.0,0,0.6033057851239669,-1.0,2022-23,2023-03-22,0022201090
OPPONENTS, Pistons,1610612765,0,1,0,0,0,1,1,9,1,5,240,0,37,91,0.407,13,40,0.325,20,24,0.833,9,26,44,20,26,8,10,2,107,44.0,107.0,1,0.5089285714285714,-22.0,2022-23,2023-03-21,0022201078
OPPONENTS, Hawks,1610612737,0,1,0,0,0,1,0,3,1,5,240,0,48,101,0.475,5,22,0.227,17,20,0.85,20,31,54,21,13,4,12,4,118,54.0,118.0,0,0.6052631578947368,-8.0,2022-23,2023-03-19,0022201065
OPPONENTS, Warriors,1610612744,0,1,0,0,0,1,0,8,1,5,240,0,47,98,0.48,11,40,0.275,14,20,0.7,16,38,62,28,20,6,17,9,119,62.0,119.0,0,0.5905511811023622,-8.0,2022-23,2023-03-17,0022201048
Atlanta,Hawks,1610612737,0,1,0,1,0,0,1,8,1,5,240,0,44,97,0.454,4,22,0.182,23,28,0.821,18,33,59,17,19,6,16,4,115,59.0,115.0,0,0.5446428571428571,-21.0,2022-23,2023-03-13,0022201021
