MATCHUP,GAME_ID,SEASON,GAME_DATE,HOME_TEAM_NICKNAME,HOME_TEAM_ID,AWAY_TEAM_NICKNAME,AWAY_TEAM_ID
04/09/2023 Hawks at Celtics,0022201216,2022-23,2023-04-09, Celtics,1610612738, Hawks,1610612737
04/07/2023 76ers at Hawks,0022201205,2022-23,2023-04-07, Hawks,1610612737, 76ers,1610612755
04/05/2023 Wizards at Hawks,0022201191,2022-23,2023-04-05, Hawks,1610612737, Wizards,1610612764
04/04/2023 Hawks at Bulls,0022201182,2022-23,2023-04-04, Bulls,1610612741, Hawks,1610612737
04/02/2023 Mavericks at Hawks,0022201167,2022-23,2023-04-02, Hawks,1610612737, Mavericks,1610612742
03/31/2023 Hawks at Nets,0022201153,2022-23,2023-03-31, Nets,1610612751, Hawks,1610612737
03/28/2023 Cavaliers at Hawks,0022201131,2022-23,2023-03-28, Hawks,1610612737, Cavaliers,1610612739
03/26/2023 Grizzlies at Hawks,0022201115,2022-23,2023-03-26, Hawks,1610612737, Grizzlies,1610612763
03/25/2023 Pacers at Hawks,0022201107,2022-23,2023-03-25, Hawks,1610612737, Pacers,1610612754
03/22/2023 Hawks at Timberwolves,0022201090,2022-23,2023-03-22, Timberwolves,1610612750, Hawks,1610612737
03/21/2023 Pistons at Hawks,0022201078,2022-23,2023-03-21, Hawks,1610612737, Pistons,1610612765
03/19/2023 Hawks at Spurs,0022201065,2022-23,2023-03-19, Spurs,1610612759, Hawks,1610612737
03/17/2023 Warriors at Hawks,0022201048,2022-23,2023-03-17, Hawks,1610612737, Warriors,1610612744
03/13/2023 Timberwolves at Hawks,0022201021,2022-23,2023-03-13, Hawks,1610612737, Timberwolves,1610612750
03/11/2023 Celtics at Hawks,0022201008,2022-23,2023-03-11, Hawks,1610612737, Celtics,1610612738
03/10/2023 Hawks at Wizards,0022200999,2022-23,2023-03-10, Wizards,1610612764, Hawks,1610612737
03/08/2023 Hawks at Wizards,0022200985,2022-23,2023-03-08, Wizards,1610612764, Hawks,1610612737
03/06/2023 Hawks at Heat,0022200974,2022-23,2023-03-06, Heat,1610612748, Hawks,1610612737
03/04/2023 Hawks at Heat,0022200958,2022-23,2023-03-04, Heat,1610612748, Hawks,1610612737
03/03/2023 Trail Blazers at Hawks,0022200947,2022-23,2023-03-03, Hawks,1610612737, Trail Blazers,1610612757
02/28/2023 Wizards at Hawks,0022200923,2022-23,2023-02-28, Hawks,1610612737, Wizards,1610612764
02/26/2023 Nets at Hawks,0022200911,2022-23,2023-02-26, Hawks,1610612737, Nets,1610612751
02/24/2023 Cavaliers at Hawks,0022200896,2022-23,2023-02-24, Hawks,1610612737, Cavaliers,1610612739
02/15/2023 Knicks at Hawks,0022200876,2022-23,2023-02-15, Hawks,1610612737, Knicks,1610612752
02/13/2023 Hawks at Hornets,0022200857,2022-23,2023-02-13, Hornets,1610612766, Hawks,1610612737
02/11/2023 Spurs at Hawks,0022200850,2022-23,2023-02-11, Hawks,1610612737, Spurs,1610612759
02/09/2023 Suns at Hawks,0022200832,2022-23,2023-02-09, Hawks,1610612737, Suns,1610612756
02/07/2023 Hawks at Pelicans,0022200818,2022-23,2023-02-07, Pelicans,1610612740, Hawks,1610612737
02/04/2023 Hawks at Nuggets,0022200801,2022-23,2023-02-04, Nuggets,1610612743, Hawks,1610612737
02/03/2023 Hawks at Jazz,0022200792,2022-23,2023-02-03, Jazz,1610612762, Hawks,1610612737
02/01/2023 Hawks at Suns,0022200777,2022-23,2023-02-01, Suns,1610612756, Hawks,1610612737
01/30/2023 Hawks at Trail Blazers,0022200763,2022-23,2023-01-30, Trail Blazers,1610612757, Hawks,1610612737
01/28/2023 Clippers at Hawks,0022200745,2022-23,2023-01-28, Hawks,1610612737, Clippers,1610612746
01/25/2023 Hawks at Thunder,0022200725,2022-23,2023-01-25, Thunder,1610612760, Hawks,1610612737
