CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
Boston,Celtics,1610612738,1,0,1,0,0,0,0,6,1,5,240,0,42,89,0.472,25,54,0.463,11,14,0.786,12,35,53,33,13,5,15,3,120,53.0,120.0,0,0.6,6.0,2022-23,2023-04-09,0022201216
OPPONENTS, 76ers,1610612755,1,0,0,0,1,0,0,9,1,5,265,0,51,102,0.5,11,22,0.5,23,29,0.793,13,39,61,33,22,10,20,2,136,61.0,136.0,1,0.5915492957746479,5.0,2022-23,2023-04-07,0022201205
Atlanta,Hawks,1610612737,1,0,1,0,0,0,1,8,1,5,240,0,43,84,0.512,13,30,0.433,35,40,0.875,12,36,56,30,23,10,17,5,134,56.0,134.0,0,0.6134453781512605,18.0,2022-23,2023-04-05,0022201191
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,6,1,5,240,0,48,86,0.558,10,28,0.357,17,19,0.895,7,41,54,26,18,5,17,7,123,54.0,123.0,0,0.6065573770491803,18.0,2022-23,2023-04-04,0022201182
Atlanta,Hawks,1610612737,1,0,1,0,0,0,2,6,1,5,265,0,51,108,0.472,12,35,0.343,18,22,0.818,16,37,59,28,22,10,11,3,132,59.0,132.0,0,0.6030534351145038,2.0,2022-23,2023-04-02,0022201167
Brooklyn,Nets,1610612751,1,0,1,0,0,0,1,4,1,5,240,0,49,88,0.557,15,33,0.455,11,13,0.846,9,32,45,33,17,9,13,3,124,45.0,124.0,0,0.656,17.0,2022-23,2023-03-31,0022201153
Atlanta,Hawks,1610612737,1,0,1,0,0,0,3,9,1,5,240,0,41,89,0.461,12,27,0.444,26,33,0.788,14,37,60,25,16,5,15,3,120,60.0,120.0,0,0.5739130434782609,2.0,2022-23,2023-03-28,0022201131
OPPONENTS, Grizzlies,1610612763,1,0,0,0,1,0,0,6,1,5,240,0,48,89,0.539,13,33,0.394,14,19,0.737,6,33,45,28,22,8,11,7,123,45.0,123.0,1,0.6229508196721312,4.0,2022-23,2023-03-26,0022201115
Atlanta,Hawks,1610612737,1,0,1,0,0,0,2,10,1,5,240,0,53,96,0.552,15,30,0.5,22,25,0.88,15,27,52,33,14,10,13,8,143,52.0,143.0,0,0.6771653543307087,13.0,2022-23,2023-03-25,0022201107
Minnesota,Timberwolves,1610612750,1,0,1,0,0,0,0,7,1,5,240,0,45,92,0.489,11,26,0.423,24,29,0.828,11,31,49,27,20,7,11,3,125,49.0,125.0,0,0.6050420168067226,1.0,2022-23,2023-03-22,0022201090
Atlanta,Hawks,1610612737,1,0,1,0,0,0,2,13,1,5,240,0,44,95,0.463,14,38,0.368,27,36,0.75,21,40,74,26,20,5,11,6,129,74.0,129.0,0,0.6306306306306306,22.0,2022-23,2023-03-21,0022201078
San Antonio,Spurs,1610612759,1,0,1,0,0,0,0,10,1,5,240,0,51,94,0.543,14,28,0.5,10,16,0.625,10,31,51,26,18,9,12,5,126,51.0,126.0,0,0.6311475409836066,8.0,2022-23,2023-03-19,0022201065
Atlanta,Hawks,1610612737,1,0,1,0,0,0,1,11,1,5,240,0,47,100,0.47,16,41,0.39,17,25,0.68,13,32,56,27,15,7,11,8,127,56.0,127.0,0,0.592,8.0,2022-23,2023-03-17,0022201048
OPPONENTS, Timberwolves,1610612750,1,0,0,0,1,0,3,7,1,5,240,0,54,92,0.587,12,28,0.429,16,23,0.696,5,32,44,39,22,12,13,10,136,44.0,136.0,0,0.6690647482014388,21.0,2022-23,2023-03-13,0022201021
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,1,7,1,5,240,0,52,95,0.547,20,42,0.476,10,12,0.833,5,35,47,35,21,6,9,6,134,47.0,134.0,0,0.6492537313432836,9.0,2022-23,2023-03-11,0022201008
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,8,1,5,240,0,42,95,0.442,15,31,0.484,15,19,0.789,13,33,54,25,17,9,14,4,114,54.0,114.0,0,0.5537190082644629,7.0,2022-23,2023-03-10,0022200999
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,4,1,5,240,0,45,85,0.529,12,29,0.414,20,26,0.769,8,28,40,26,17,11,11,5,122,40.0,122.0,0,0.6228070175438597,2.0,2022-23,2023-03-08,0022200985
Miami,Heat,1610612748,1,0,1,0,0,0,0,10,1,5,240,0,41,77,0.532,16,29,0.552,32,37,0.865,8,24,42,27,17,6,11,4,130,42.0,130.0,0,0.6355140186915887,2.0,2022-23,2023-03-06,0022200974
Miami,Heat,1610612748,1,0,1,0,0,0,1,5,1,5,240,0,42,83,0.506,13,35,0.371,20,23,0.87,12,31,48,31,19,5,20,3,117,48.0,117.0,0,0.5983606557377049,8.0,2022-23,2023-03-04,0022200958
Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,7,1,5,240,0,52,91,0.571,12,26,0.462,13,16,0.813,10,33,50,30,19,10,17,5,129,50.0,129.0,0,0.640625,18.0,2022-23,2023-03-03,0022200947
OPPONENTS, Wizards,1610612764,1,0,0,0,1,0,1,8,1,5,240,0,48,97,0.495,6,21,0.286,17,20,0.85,16,32,56,19,15,6,9,5,119,56.0,119.0,0,0.6146788990825688,3.0,2022-23,2023-02-28,0022200923
Atlanta,Hawks,1610612737,1,0,1,0,0,0,1,7,1,5,240,0,45,90,0.5,16,30,0.533,23,28,0.821,13,33,53,20,18,7,16,2,129,53.0,129.0,0,0.5752212389380531,2.0,2022-23,2023-02-26,0022200911
Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,5,1,5,240,0,50,85,0.588,15,28,0.536,21,23,0.913,5,37,47,28,21,7,14,8,136,47.0,136.0,0,0.639344262295082,17.0,2022-23,2023-02-24,0022200896
OPPONENTS, Knicks,1610612752,1,0,0,0,1,0,1,12,1,5,240,0,45,96,0.469,14,43,0.326,18,22,0.818,10,45,67,16,21,2,10,4,122,67.0,122.0,0,0.5446428571428571,21.0,2022-23,2023-02-15,0022200876
Charlotte,Hornets,1610612766,1,0,1,0,0,0,0,9,1,5,240,0,53,84,0.631,20,37,0.541,18,23,0.783,3,32,44,36,19,5,17,5,144,44.0,144.0,0,0.664179104477612,6.0,2022-23,2023-02-13,0022200857
Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,8,1,5,240,0,50,103,0.485,10,26,0.385,15,19,0.789,14,34,56,29,10,9,10,6,125,56.0,125.0,0,0.6171875,19.0,2022-23,2023-02-11,0022200850
Atlanta,Hawks,1610612737,1,0,1,0,0,0,1,11,1,5,240,0,43,95,0.453,10,29,0.345,20,27,0.741,20,39,70,23,22,6,19,4,116,70.0,116.0,0,0.5641025641025641,9.0,2022-23,2023-02-09,0022200832
New Orleans,Pelicans,1610612740,1,0,1,0,0,0,1,9,1,5,240,0,45,91,0.495,12,32,0.375,14,21,0.667,13,34,56,28,19,8,10,2,116,56.0,116.0,0,0.6293103448275862,9.0,2022-23,2023-02-07,0022200818
Denver,Nuggets,1610612743,1,0,1,0,0,0,1,5,1,5,240,0,48,95,0.505,15,38,0.395,17,20,0.85,12,36,53,32,15,14,13,6,128,53.0,128.0,0,0.625,20.0,2022-23,2023-02-04,0022200801
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,4,1,5,240,0,44,95,0.463,10,37,0.27,17,23,0.739,14,38,56,28,18,8,9,5,115,56.0,115.0,0,0.6101694915254238,7.0,2022-23,2023-02-03,0022200792
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,0,2,1,5,240,0,52,91,0.571,19,33,0.576,9,11,0.818,6,39,47,32,24,6,12,5,132,47.0,132.0,0,0.6511627906976745,32.0,2022-23,2023-02-01,0022200777
Portland,Trail Blazers,1610612757,1,0,1,0,0,0,0,6,1,5,240,0,43,79,0.544,19,40,0.475,24,27,0.889,3,29,38,24,21,2,8,7,129,38.0,129.0,0,0.6203703703703703,4.0,2022-23,2023-01-30,0022200763
OPPONENTS, Clippers,1610612746,1,0,0,0,1,0,0,3,1,5,240,0,42,80,0.525,19,39,0.487,17,19,0.895,6,31,40,25,15,5,14,5,120,40.0,120.0,0,0.5929203539823009,7.0,2022-23,2023-01-28,0022200745
OPPONENTS, Hawks,1610612737,1,0,0,0,1,0,1,8,1,5,240,0,50,84,0.595,11,29,0.379,26,33,0.788,11,35,54,26,16,5,17,6,137,54.0,137.0,0,0.6551724137931034,5.0,2022-23,2023-01-25,0022200725
Chicago,Bulls,1610612741,1,0,1,0,0,0,2,9,1,5,240,0,44,95,0.463,11,34,0.324,12,18,0.667,15,32,56,28,20,13,11,3,111,56.0,111.0,0,0.6050420168067226,11.0,2022-23,2023-01-23,0022200708
OPPONENTS, Hornets,1610612766,1,0,0,0,1,0,0,10,1,5,240,0,45,89,0.506,13,34,0.382,19,22,0.864,6,30,46,28,18,11,12,2,122,46.0,122.0,0,0.5934959349593496,4.0,2022-23,2023-01-21,0022200694
